category_id,url,count,attribute,option
4,top-cat-01/cat-02-01-01.html,25,oro_filterable_02,446
4,top-cat-01/cat-02-01-01.html,23,oro_filterable_02,447
4,top-cat-01/cat-02-01-01.html,14,oro_filterable_02,448
4,top-cat-01/cat-02-01-01.html,14,oro_filterable_02,449
4,top-cat-01/cat-02-01-01.html,16,oro_filterable_02,450
4,top-cat-01/cat-02-01-01.html,23,oro_filterable_02,451
4,top-cat-01/cat-02-01-01.html,24,oro_filterable_02,452
4,top-cat-01/cat-02-01-01.html,14,oro_filterable_02,453
4,top-cat-01/cat-02-01-01.html,19,oro_filterable_02,454
4,top-cat-01/cat-02-01-01.html,18,oro_filterable_02,455
4,top-cat-01/cat-02-01-01.html,26,oro_filterable_02,456
4,top-cat-01/cat-02-01-01.html,28,oro_filterable_02,457
4,top-cat-01/cat-02-01-01.html,29,oro_filterable_02,458
4,top-cat-01/cat-02-01-01.html,21,oro_filterable_02,459
4,top-cat-01/cat-02-01-01.html,26,oro_filterable_02,460
4,top-cat-01/cat-02-01-01.html,16,oro_filterable_02,461
4,top-cat-01/cat-02-01-01.html,17,oro_filterable_02,462
4,top-cat-01/cat-02-01-01.html,16,oro_filterable_02,463
4,top-cat-01/cat-02-01-01.html,14,oro_filterable_02,464
4,top-cat-01/cat-02-01-01.html,19,oro_filterable_02,465
4,top-cat-01/cat-02-01-01.html,25,oro_filterable_02,466
4,top-cat-01/cat-02-01-01.html,25,oro_filterable_02,467
4,top-cat-01/cat-02-01-01.html,28,oro_filterable_02,468
4,top-cat-01/cat-02-01-01.html,14,oro_filterable_02,469
4,top-cat-01/cat-02-01-01.html,23,oro_filterable_02,470
4,top-cat-01/cat-02-01-01.html,19,oro_filterable_02,471
4,top-cat-01/cat-02-01-01.html,23,oro_filterable_02,472
4,top-cat-01/cat-02-01-01.html,20,oro_filterable_02,473
4,top-cat-01/cat-02-01-01.html,34,oro_filterable_02,474
4,top-cat-01/cat-02-01-01.html,26,oro_filterable_02,475
4,top-cat-01/cat-02-01-01.html,14,oro_filterable_02,476
4,top-cat-01/cat-02-01-01.html,31,oro_filterable_02,477
4,top-cat-01/cat-02-01-01.html,22,oro_filterable_02,478
4,top-cat-01/cat-02-01-01.html,27,oro_filterable_02,479
4,top-cat-01/cat-02-01-01.html,26,oro_filterable_02,480
4,top-cat-01/cat-02-01-01.html,17,oro_filterable_02,481
4,top-cat-01/cat-02-01-01.html,22,oro_filterable_02,482
4,top-cat-01/cat-02-01-01.html,24,oro_filterable_02,483
4,top-cat-01/cat-02-01-01.html,20,oro_filterable_02,484
4,top-cat-01/cat-02-01-01.html,18,oro_filterable_02,486
4,top-cat-01/cat-02-01-01.html,33,oro_filterable_02,487
4,top-cat-01/cat-02-01-01.html,23,oro_filterable_02,488
4,top-cat-01/cat-02-01-01.html,17,oro_filterable_02,489
4,top-cat-01/cat-02-01-01.html,25,oro_filterable_02,490
4,top-cat-01/cat-02-01-01.html,12,oro_filterable_02,491
4,top-cat-01/cat-02-01-01.html,21,oro_filterable_02,492
